"","Category_code","COG","Annotation","Category"
"1","A","COG5178","U5 snRNP spliceosome subunit ","RNA processing and modification"
"2","A","COG5239","mRNA deadenylase, 3'-5' endonuclease subunit Ccr4","RNA processing and modification"
"3","A","COG5182","Splicing factor 3b, subunit 2 ","RNA processing and modification"
"4","A","COG5213","Polyadenylation factor I complex, subunit FIP1 ","RNA processing and modification"
"5","A","COG5186","Poly(A) polymerase Pap1","RNA processing and modification"
"6","A","COG5200","U1 snRNP component, mediates U1 snRNP association with cap-binding complex ","RNA processing and modification"
"7","A","COG0430","RNA 3'-terminal phosphate cyclase","RNA processing and modification"
"8","A","COG5228","mRNA deadenylase subunit ","RNA processing and modification"
"9","A","COG5161","Pre-mRNA cleavage and polyadenylation specificity factor ","RNA processing and modification"
"10","A","COG5246","Splicing factor 3a, subunit 2 ","RNA processing and modification"
"11","A","COG5107","Pre-mRNA 3'-end processing (cleavage and polyadenylation) factor ","RNA processing and modification"
"12","A","COG5176","Splicing factor (branch point binding protein) ","RNA processing and modification"
"13","A","COG5180","PAB1-binding protein PBP1, interacts with poly(A)-binding protein","RNA processing and modification"
"14","A","COG5104","Splicing factor ","RNA processing and modification"
"15","A","COG5226","mRNA capping enzyme, guanylyltransferase (alpha) subunit ","RNA processing and modification"
"16","A","COG5136","U1 snRNP-specific protein C ","RNA processing and modification"
"17","A","COG4085","DNA/RNA endonuclease YhcR, contains UshA esterase domain","RNA processing and modification"
"18","A","COG5188","Splicing factor 3a, subunit 3 ","RNA processing and modification"
"19","A","COG5181","U2 snRNP spliceosome subunit ","RNA processing and modification"
"20","A","COG1949","Oligoribonuclease (3'-5' exoribonuclease)","RNA processing and modification"
"21","B","COG5602","Histone deacetylase complex, regulatory component SIN3","Chromatin structure and dynamics"
"22","B","COG2036","Archaeal histone H3/H4","Chromatin structure and dynamics"
"23","B","COG5034","Chromatin remodeling protein, contains PhD zinc finger ","Chromatin structure and dynamics"
"24","B","COG5114","Histone acetyltransferase complex SAGA/ADA, subunit ADA2 ","Chromatin structure and dynamics"
"25","B","COG5648","Chromatin-associated proteins containing the HMG domain ","Chromatin structure and dynamics"
"26","B","COG5098","Chromosome condensation complex Condensin, subunit D2 ","Chromatin structure and dynamics"
"27","B","COG5027","Histone acetyltransferase (MYST family) ","Chromatin structure and dynamics"
"28","B","COG5218","Chromosome condensation complex Condensin, subunit G ","Chromatin structure and dynamics"
"29","B","COG5229","Chromosome condensation complex Condensin, subunit H ","Chromatin structure and dynamics"
"30","B","COG5076","Transcription factor involved in chromatin remodeling, contains bromodomain ","Chromatin structure and dynamics"
"31","B","COG5262","Histone H2A ","Chromatin structure and dynamics"
"32","B","COG5259","RSC chromatin remodeling complex subunit RSC8 ","Chromatin structure and dynamics"
"33","B","COG5531","Chromatin remodeling complex protein RSC6, contains SWIB domain","Chromatin structure and dynamics"
"34","C","COG5336","FoF1-type ATP synthase assembly protein I","Energy production and conversion"
"35","C","COG0852","NADH:ubiquinone oxidoreductase 27 kD subunit (chain C)","Energy production and conversion"
"36","C","COG1941","Coenzyme F420-reducing hydrogenase, gamma subunit","Energy production and conversion"
"37","C","COG1013","Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, beta subunit","Energy production and conversion"
"38","C","COG3411","(2Fe-2S) ferredoxin","Energy production and conversion"
"39","C","COG2864","Cytochrome b subunit of formate dehydrogenase","Energy production and conversion"
"40","C","COG1142","Fe-S-cluster-containing hydrogenase component 2","Energy production and conversion"
"41","C","COG3053","Citrate lyase synthetase","Energy production and conversion"
"42","C","COG2209","Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrE","Energy production and conversion"
"43","C","COG0578","Glycerol-3-phosphate dehydrogenase","Energy production and conversion"
"44","C","COG0713","NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K)","Energy production and conversion"
"45","C","COG1182","FMN-dependent NADH-azoreductase","Energy production and conversion"
"46","C","COG0437","Fe-S-cluster-containing dehydrogenase component","Energy production and conversion"
"47","C","COG2421","Acetamidase/formamidase","Energy production and conversion"
"48","C","COG1882","Pyruvate-formate lyase","Energy production and conversion"
"49","C","COG2717","Periplasmic DMSO/TMAO reductase YedYZ, heme-binding membrane subunit","Energy production and conversion"
"50","C","COG1229","Formylmethanofuran dehydrogenase subunit A","Energy production and conversion"
"51","C","COG0114","Fumarate hydratase class II","Energy production and conversion"
"52","C","COG1029","Formylmethanofuran dehydrogenase subunit B","Energy production and conversion"
"53","C","COG5605","Cytochrome c oxidase subunit IV","Energy production and conversion"
"54","C","COG0055","FoF1-type ATP synthase, beta subunit","Energy production and conversion"
"55","C","COG1012","Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase","Energy production and conversion"
"56","C","COG1979","Alcohol dehydrogenase YqhD, Fe-dependent ADH family","Energy production and conversion"
"57","C","COG1625","Fe-S oxidoreductase, related to NifB/MoaA family","Energy production and conversion"
"58","C","COG3051","Citrate lyase, alpha subunit","Energy production and conversion"
"59","C","COG4221","NADP-dependent 3-hydroxy acid dehydrogenase YdfG","Energy production and conversion"
"60","C","COG4039","Energy-converting hydrogenase Eha subunit C","Energy production and conversion"
"61","C","COG3302","DMSO reductase anchor subunit","Energy production and conversion"
"62","C","COG0546","Phosphoglycolate phosphatase, HAD superfamily","Energy production and conversion"
"63","C","COG1036","Archaeal flavoprotein","Energy production and conversion"
"64","C","COG0240","Glycerol-3-phosphate dehydrogenase","Energy production and conversion"
"65","C","COG4231","TPP-dependent indolepyruvate ferredoxin oxidoreductase, alpha subunit","Energy production and conversion"
"66","C","COG1139","L-lactate utilization protein LutB, contains a ferredoxin-type domain","Energy production and conversion"
"67","C","COG1390","Archaeal/vacuolar-type H+-ATPase subunit E/Vma4","Energy production and conversion"
"68","C","COG2210","Peroxiredoxin family protein","Energy production and conversion"
"69","C","COG1145","Ferredoxin","Energy production and conversion"
"70","C","COG2811","Archaeal/vacuolar-type H+-ATPase subunit H","Energy production and conversion"
"71","C","COG0839","NADH:ubiquinone oxidoreductase subunit 6 (chain J)","Energy production and conversion"
"72","C","COG1795","Formaldehyde-activating enzyme nesessary for methanogenesis","Energy production and conversion"
"73","C","COG1679","Predicted aconitase","Energy production and conversion"
"74","C","COG1053","Succinate dehydrogenase/fumarate reductase, flavoprotein subunit","Energy production and conversion"
"75","C","COG1456","CO dehydrogenase/acetyl-CoA synthase gamma subunit (corrinoid Fe-S protein)","Energy production and conversion"
"76","C","COG3262","Ni,Fe-hydrogenase III component G","Energy production and conversion"
"77","C","COG1347","Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrD","Energy production and conversion"
"78","C","COG1757","Na+/H+ antiporter NhaC","Energy production and conversion"
"79","C","COG3783","Soluble cytochrome b562","Energy production and conversion"
"80","C","COG2218","Formylmethanofuran dehydrogenase subunit C","Energy production and conversion"
"81","C","COG2863","Cytochrome c553","Energy production and conversion"
"82","C","COG0355","FoF1-type ATP synthase, epsilon subunit","Energy production and conversion"
"83","C","COG1773","Rubredoxin","Energy production and conversion"
"84","C","COG2224","Isocitrate lyase","Energy production and conversion"
"85","C","COG0712","FoF1-type ATP synthase, delta subunit","Energy production and conversion"
