Sample	HGT_genes	HGT_count	HGT_genes_unique
GA02_16	0	0	0
GA02_3	4	2	4
GA02_15J	0	0	0
GA02_4	6	3	6
GA02_2	0	0	0
GA02_14	0	0	0
GA03_7	4	2	4
GA10_4	0	0	0
GP13_15	0	0	0
GA10_6	0	0	0
GA02_17	14	7	14
GA02_23	4	2	4
GA02_11J	0	0	0
GA10_5	0	0	0
GA02_21	12	6	12
GA10_1	0	0	0
GA02_12J	0	0	0
GA02_27	22	11	22
GA03_10	48	24	48
GA02_25	4	2	4
GA02_10J	0	0	0
GP13_GT19	0	0	0
GA10_3	0	0	0
GA02_18J	2	1	2
GP13_2	0	0	0
GA02_11	6	3	5
GA02_5	2	1	2
GA02_31	0	0	0
GA02_10	22	11	22
GA03_12	12	6	12
GA02_35	6	3	6
GA02_33	2	1	2
GP13_29	0	0	0
GA02_12	8	4	8
GP13_32	6	3	6
GA02_7	0	0	0
GA02_15	4	2	4
GA02_17J	0	0	0
GA02_6	0	0	0
GA02_16J	0	0	0
GA02_18	12	6	12
