user_genome	classification
Loc080925_7m_1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylovulum;s__Methylovulum sp903944165
Loc080925_7m_10	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Babeliaceae;g__GWE2-41-16;s__GWE2-41-16 sp903831405
Loc080925_7m_101	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__CAIKKV01;f__CAIJXV01;g__CAIJXV01;s__CAIJXV01 sp903824675
Loc080925_7m_102	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__PALSA-1337;g__CAIOGI01;s__CAIOGI01 sp903857825
Loc080925_7m_103	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Cyanobium;s__Cyanobium sp903934745
Loc080925_7m_104	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__JABWAM01;f__JABWAM01;g__;s__
Loc080925_7m_105	d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042;g__CAJBNH01;s__CAJBNH01 sp903955385
Loc080925_7m_107	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__UBA953;g__UBA953;s__
Loc080925_7m_109	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__CAIKKV01;f__CAITUY01;g__JAABPW01;s__JAABPW01 sp903934155
Loc080925_7m_110	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Rhodoferax_C;s__Rhodoferax_C sp903945325
Loc080925_7m_115	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
Loc080925_7m_116	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__CAIJKW01;g__CAIJKW01;s__CAIJKW01 sp903936565
Loc080925_7m_122	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Rubrivivax;s__Rubrivivax sp903938815
Loc080925_7m_123	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__CAIVAT01;s__CAIVAT01 sp903959905
Loc080925_7m_125	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__F1-60-MAGs163;s__F1-60-MAGs163 sp903953065
