"","Category_code","COG","Annotation","Category"
"1","A","COG5213","Polyadenylation factor I complex, subunit FIP1 ","RNA processing and modification"
"2","A","COG5228","mRNA deadenylase subunit ","RNA processing and modification"
"3","A","COG5226","mRNA capping enzyme, guanylyltransferase (alpha) subunit ","RNA processing and modification"
"4","A","COG4085","DNA/RNA endonuclease YhcR, contains UshA esterase domain","RNA processing and modification"
"5","A","COG5136","U1 snRNP-specific protein C ","RNA processing and modification"
"6","A","COG5186","Poly(A) polymerase Pap1","RNA processing and modification"
"7","A","COG0430","RNA 3-terminal phosphate cyclase
COG0431	C	NAD(P)H-dependent FMN reductase
COG0432	H	Thiamin phosphate synthase YjbQ, UPF0047 family
COG0433	L	Archaeal DNA helicase HerA or a related bacterial ATPase, contains HAS-barrel and ATPase domains
COG0434	R	Predicted TIM-barrel enzyme
COG0435	C	Glutathionyl-hydroquinone reductase
COG0436	E	Aspartate/methionine/tyrosine aminotransferase
COG0437	C	Fe-S-cluster-containing dehydrogenase component
COG0438	M	Glycosyltransferase involved in cell wall bisynthesis
COG0439	I	Biotin carboxylase
COG0440	E	Acetolactate synthase, small subunit
COG0441	J	Threonyl-tRNA synthetase
COG0442	J	Prolyl-tRNA synthetase
COG0443	O	Molecular chaperone DnaK (HSP70)
COG0444	EP	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
COG0445	J	tRNA U34 5-carboxymethylaminomethyl modifying enzyme MnmG/GidA
COG0446	I	NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase
COG0447	H	1,4-Dihydroxy-2-naphthoyl-CoA synthase
COG0448	G	ADP-glucose pyrophosphorylase
COG0449	M	Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains
COG0450	V	Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin)
COG0451	M	Nucleoside-diphosphate-sugar epimerase
COG0452	H	Phosphopantothenoylcysteine synthetase/decarboxylase
COG0454	KR	N-acetyltransferase, GNAT superfamily (includes histone acetyltransferase HPA2)
COG0455	DN	MinD-like ATPase involved in chromosome partitioning or flagellar assembly
COG0456	J	Ribosomal protein S18 acetylase RimI and related acetyltransferases
COG0457	R	Tetratricopeptide (TPR) repeat
COG0458	EF	Carbamoylphosphate synthase large subunit
COG0459	O	Chaperonin GroEL (HSP60 family)
COG0460	E	Homoserine dehydrogenase
COG0461	F	Orotate phosphoribosyltransferase
COG0462	FE	Phosphoribosylpyrophosphate synthetase
COG0463	M	Glycosyltransferase involved in cell wall bisynthesis
COG0464	MDT	AAA+-type ATPase, SpoVK/Ycf46/Vps4 family
COG0465	O	ATP-dependent Zn proteases
COG0466	O	ATP-dependent Lon protease, bacterial type
COG0467	T	RecA-superfamily ATPase, KaiC/GvpD/RAD55 family
COG0468	L	RecA/RadA recombinase
COG0469	G	Pyruvate kinase
COG0470	L	DNA polymerase III, delta prime subunit
COG0471	G	Di- and tricarboxylate transporter
COG0472	M	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase
COG0473	CE	Isocitrate/isopropylmalate dehydrogenase
COG0474	P	Magnesium-transporting ATPase (P-type)
COG0475	P	Kef-type K+ transport system, membrane component KefB
COG0476	H	Molybdopterin or thiamine biosynthesis adenylyltransferase
COG0477	GEPR	MFS family permease
COG0478	T	RIO-like serine/threonine protein kinase fused to N-terminal HTH domain
COG0479	C	Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit
COG0480	J	Translation elongation factor EF-G, a GTPase
COG0481	J	Translation elongation factor EF-4, membrane-bound GTPase
COG0482	J	tRNA U34 2-thiouridine synthase MnmA/TrmU, contains the PP-loop ATPase domain
COG0483	G	Archaeal fructose-1,6-bisphosphatase or related enzyme of inositol monophosphatase family
COG0484	O	DnaJ-class molecular chaperone with C-terminal Zn finger domain
COG0486	J	tRNA U34 5-carboxymethylaminomethyl modifying GTPase MnmE/TrmE
COG0488	R	ATPase components of ABC transporters with duplicated ATPase domains
COG0489	D	Chromosome partitioning ATPase, Mrp family, contains Fe-S cluster
COG0490	P	K+/H+ antiporter YhaU, regulatory subunit KhtT
COG0491	R	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II
COG0492	O	Thioredoxin reductase
COG0493	ER	NADPH-dependent glutamate synthase beta chain or related oxidoreductase
COG0494	V	8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family
COG0495	J	Leucyl-tRNA synthetase
COG0496	L	Broad specificity polyphosphatase and 5/3-nucleotidase SurE
COG0497	L	DNA repair ATPase RecN
COG0498	E	Threonine synthase
COG0499	H	S-adenosylhomocysteine hydrolase
COG0500	QR	SAM-dependent methyltransferase
COG0501	O	Zn-dependent protease with chaperone function
COG0502	H	Biotin synthase or related enzyme
COG0503	F	Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein
COG0504	F	CTP synthase (UTP-ammonia lyase)
COG0505	EF	Carbamoylphosphate synthase small subunit
COG0506	E	Proline dehydrogenase
COG0507	L	ATP-dependent exoDNAse (exonuclease V), alpha subunit, helicase superfamily I
COG0508	C	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component
COG0509	E	Glycine cleavage system H protein (lipoate-binding)
COG0510	H	Thiamine kinase and related kinases
COG0511	HI	Biotin carboxyl carrier protein
COG0512	EH	Anthranilate/para-aminobenzoate synthase component II
COG0513	L	Superfamily II DNA and RNA helicase
COG0514	L	Superfamily II DNA helicase RecQ
COG0515	T	Serine/threonine protein kinase
COG0516	F	IMP dehydrogenase/GMP reductase
COG0517	T	CBS domain
COG0518	F	GMP synthase - Glutamine amidotransferase domain
COG0519	F	GMP synthase, PP-ATPase domain/subunit
COG0520	E	Selenocysteine lyase/Cysteine desulfurase
COG0521	H	Molybdopterin biosynthesis enzyme MoaB
COG0522	J	Ribosomal protein S4 or related protein
COG0523	R	GTPase, G3E family
COG0524	G	Sugar or nucleoside kinase, ribokinase family
COG0525	J	Valyl-tRNA synthetase
COG0526	O	Thiol-disulfide isomerase or thioredoxin
COG0527	E	Aspartokinase
COG0528	F	Uridylate kinase
COG0529	P	Adenylylsulfate kinase or related kinase
COG0530	P	Ca2+/Na+ antiporter
COG0531	E	Amino acid transporter
COG0532	J	Translation initiation factor IF-2, a GTPase
COG0533	J	tRNA A37 threonylcarbamoyltransferase TsaD
COG0534	V	Na+-driven multidrug efflux pump
COG0535	R	Radical SAM superfamily enzyme, MoaA/NifB/PqqE/SkfB family
COG0536	DL	GTPase involved in cell partioning and DNA repair
COG0537	FGR	Diadenosine tetraphosphate (Ap4A) hydrolase or other HIT family hydrolase
COG0538	C	Isocitrate dehydrogenase
COG0539	J	Ribosomal protein S1
COG0540	F	Aspartate carbamoyltransferase, catalytic chain
COG0541	U	Signal recognition particle GTPase
COG0542	O	ATP-dependent Clp protease ATP-binding subunit ClpA
COG0543	HC	NAD(P)H-flavin reductase
COG0544	O	FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)
COG0545	O	FKBP-type peptidyl-prolyl cis-trans isomerase
COG0546	C	Phosphoglycolate phosphatase, HAD superfamily
COG0547	E	Anthranilate phosphoribosyltransferase
COG0548	E	Acetylglutamate kinase
COG0549	E	Carbamate kinase
COG0550	L	DNA topoisomerase IA
COG0551	L	ssDNA-binding Zn-finger and Zn-ribbon domains of topoisomerase 1
COG0552	U	Signal recognition particle GTPase
COG0553	KL	Superfamily II DNA or RNA helicase, SNF2 family
COG0554	C	Glycerol kinase
COG0555	P	ABC-type sulfate transport system, permease component
COG0556	L	Excinuclease UvrABC helicase subunit UvrB
COG0557	K	Exoribonuclease R
COG0558	I	Phosphatidylglycerophosphate synthase
COG0559	E	Branched-chain amino acid ABC-type transport system, permease component
COG0560	E	Phosphoserine phosphatase
COG0561	HR	Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases
COG0562	M	UDP-galactopyranose mutase
COG0563	F	Adenylate kinase or related kinase
COG0564	J	Pseudouridylate synthase, 23S rRNA- or tRNA-specific
COG0565	J	tRNA C32,U32 (ribose-2-O)-methylase TrmJ or a related methyltransferase","RNA processing and modification"
"8","A","COG5180","PAB1-binding protein PBP1, interacts with poly(A)-binding protein","RNA processing and modification"
"9","A","COG5181","U2 snRNP spliceosome subunit ","RNA processing and modification"
"10","A","COG5182","Splicing factor 3b, subunit 2 ","RNA processing and modification"
